"Logic blocks","Flip-flops","RAM blocks","trueDualPortBlockRam","Multipliers","otherBlocks","Area","Maximum frequency (MHz)","Average clock cycles","id","Setup","Scenario","compilerSetup","Implementation","Function","Compiler","Optimized for","Optimization flag","Language","Idiomatic","From crates.io","color"
735,292,0,0,0,0,1027,103.35916900634766,53,"minmax_rust_size","Rust -Os","Rust","rust -Os","Rust","minmax","Rust","size","-Os","Rust","false","false","#C1292E"
2555,862,0,0,0,0,3417,56.06324005126953,37.77358490566038,"minmax_rust_speed","Rust -O3","Rust","rust -O3","Rust","minmax","Rust","speed","-O3","Rust","false","false","#E2787C"
394,260,0,0,0,0,654,111.14816284179688,51,"minmax_idiom_size","Idiomatic Rust -Os","Idiomatic Rust","rust -Os","Idiomatic Rust","minmax","Rust","size","-Os","Rust","true","false","#F65D00"
2326,865,0,0,0,0,3191,56.217674255371094,36.75471698113208,"minmax_idiom_speed","Idiomatic Rust -O3","Idiomatic Rust","rust -O3","Idiomatic Rust","minmax","Rust","speed","-O3","Rust","true","false","#FF9A5C"
2183,827,0,0,0,0,3010,50.643165588378906,39.75471698113208,"minmax_clang_speed","C++ clang -O3","C++ clang","clang -O3","C++","minmax","Clang","speed","-O3","C++","false","false","#7A8FE1"
524,165,0,0,0,0,689,103.4768295288086,54,"minmax_gcc_speed","C++ gcc -O3","C++ gcc","gcc -O3","C++","minmax","GCC","speed","-O3","C++","false","false","#7AE1D5"
993,229,0,0,0,0,1222,99.20635223388672,54,"minmax_clang_size","C++ clang -Os","C++ clang","clang -Os","C++","minmax","Clang","size","-Os","C++","false","false","#3454D1"
439,132,0,0,0,0,571,110.57054901123047,80,"minmax_gcc_size","C++ gcc -Os","C++ gcc","gcc -Os","C++","minmax","GCC","size","-Os","C++","false","false","#34D1BF"
